PageLink,EventName,EventType,EventTypeId,Country,City,ContinentCode,Subcontinent,StartDateTime,EndDateTime,Tags,EventCode,Comments,EventDateChangeId,EventId,FromStartDate,FromEndDate,ToStartDate,ToEndDate,ShowInCalendar,Type,Event_Tier_Name
,WTT Macao,WTT Exhibition,60,"Macao, China",,asia,east asia,2022-01-19T00:00:00,2022-01-23T00:00:00,,20136,,,2537,,,,,,,WTT Series
,WTT Youth Contender Tunis 2022,WTT Youth Contender,69,Tunisia,Rades,africa,north africa,2022-03-21T00:00:00,2022-03-27T00:00:00,,0,,,2538,,,,,,,WTT Youth Series
,WTT Contender Zagreb 2022,WTT Contender,34,Croatia,Zagreb,europe,southern europe,2022-06-13T00:00:00,2022-06-19T00:00:00,,,,,2539,,,,,,,WTT Series
,WTT Feeder Otocec 2022 Presented by I Feel Slovenia,WTT Feeder,81,Slovenia,Otocec,europe,southern europe,2022-06-20T00:00:00,2022-06-26T00:00:00,,,,,2540,,,,,,,WTT Feeder Series
,WTT Feeder Olomouc 2022,WTT Feeder,81,Czechia,Olomouc,europe,eastern europe,2022-08-23T00:00:00,2022-08-28T00:00:00,,,,,2541,,,,,,,WTT Feeder Series
,WTT Feeder Panagyurishte Presented by Asarel,WTT Feeder,81,Bulgaria,Panagyurishte,europe,eastern europe,2022-08-30T00:00:00,2022-09-04T00:00:00,,,,,2542,,,,,,,WTT Feeder Series
,WTT Youth Star Contender Otocec 2022 Presented by I Feel Slovenia,WTT Youth Star Contender,68,Slovenia,Otocec,europe,southern europe,2022-03-29T00:00:00,2022-04-02T00:00:00,,0,,,2543,,,,,,,WTT Youth Series
,WTT Youth Contender Tbilisi 2022,WTT Youth Contender,69,Georgia,Tbilisi,europe,southern europe,2022-09-19T00:00:00,2022-09-25T00:00:00,,0,,,2544,,,,,,,WTT Youth Series
,WTT Youth Contender Linz 2022,WTT Youth Contender,69,Austria,Linz,europe,western europe,2022-04-27T00:00:00,2022-05-03T00:00:00,,0,,,2545,,,,,,,WTT Youth Series
,WTT Youth Contender Wladyslawowo 2022,WTT Youth Contender,69,Poland,Wladyslawowo,europe,eastern europe,2022-05-16T00:00:00,2022-05-22T00:00:00,,0,,,2546,,,,,,,WTT Youth Series
,WTT Youth Contender Berlin 2022,WTT Youth Contender,69,Germany,Berlin,europe,western europe,2022-05-16T00:00:00,2022-05-22T00:00:00,,0,,,2547,,,,,,,WTT Youth Series
,WTT Youth Contender Platja D'Aro 2022,WTT Youth Contender,69,Spain,"Platja d'Aro, Girona",europe,southern europe,2022-05-24T00:00:00,2022-05-30T00:00:00,,0,,,2548,,,,,,,WTT Youth Series
