eventId,documentCode,gameScores,resultsGameScores
2697,TTEWSINGLES-----------RND1003100----------,"11-9,11-6,11-6,0-0,0-0","11-8,11-6,11-6,0-0,0-0"
2697,TTEWSINGLES-----------8FNL000800----------,"11-9,11-7,7-11,8-11,7-11","11-9,11-7,7-11,8-11,7-10"
2480,TTEMSINGLES-----------R32-000200----------,,"7-11,13-11,7-11,11-13,9-11,0-0,0-0"
2480,TTEWSINGLES-----------R32-000300----------,,"11-8,8-11,11-6,11-1,11-6,0-0,0-0"
2480,TTEMSINGLES-----------R32-001200----------,"13-11,11-9,10-12,8-11,11-8,11-2,0-0","11-13,11-9,10-12,8-11,11-8,9-11,0-0"
2480,TTEWSINGLES-----------R32-000700----------,,"11-7,10-12,11-5,11-7,13-15,6-11,9-11"
2480,TTEWSINGLES-----------R32-000100----------,,"11-6,11-7,11-3,11-5,0-0,0-0,0-0"
2480,TTEMSINGLES-----------GP04000300----------,,"11-8,10-12,7-11,11-7,8-11"
2480,TTEMSINGLES-----------GP18000300----------,,"5-11,11-8,11-9,11-7,0-0"
2480,TTEWSINGLES-----------R32-000200----------,,"3-11,8-11,6-11,8-11,0-0,0-0,0-0"
2489,TTEMSINGLES-----------8FNL000300----------,"10-12,11-6,11-6,11-4,0-0","10-12,11-6,9-6,11-4,0-0"
2882,TTEWSINGLES-----------R64-002200----------,,"11-8,11-6,11-8,0-0,0-0"
2882,TTEWSINGLES-----------QFNL000100----------,,"6-11,11-9,4-11,10-12,0-0"
2346,TTEWSINGLES-----------R128006300----------,"5-11,11-9,3-11,11-13,11-13,0-0,0-0","5-11,11-9,3-11,11-13,11-10,0-0,0-0"
2346,TTEWSINGLES-----------R128000200----------,"11-5,11-0,11-0,11-0,0-0,0-0,0-0","11-9,12-10,6-11,9-11,7-11,11-6,5-11"
2346,TTEMSINGLES-----------R128000500----------,"13-11,11-8,8-11,6-11,11-5,13-11,0-0","13-11,11-8,8-11,6-11,11-5,8-11,13-11"
2346,TTEWSINGLES-----------R128001300----------,"3-11,0-11,0-11,0-11,0-0,0-0,0-0","11-8,11-5,11-5,11-7,0-0,0-0,0-0"
3084,TTEWSINGLES-----------GP12000400----------,"0-0,0-0,0-0,0-0,0-0","5-11,10-12,10-12,0-0,0-0"
3084,TTEWSINGLES-----------GP11000400----------,"0-0,0-0,0-0,0-0,0-0","11-9,11-9,11-9,0-0,0-0"
2539,TTEWSINGLES-----------RND2002600----------,,"11-8,11-7,7-11,6-11,11-9"
2539,TTEWSINGLES-----------RND1001100----------,,"2-11,2-11,8-11,0-0,0-0"
2539,TTEMSINGLES-----------SFNL000200----------,"11-7,11-6,8-11,11-9,11-9,0-0,0-0","11-7,11-6,8-9,11-9,11-9,0-0,0-0"
2891,TTEWSINGLES-----------RND1001200----------,"3-11,11-7,11-3,11-3,0-0","11-3,7-11,3-11,3-11,0-0"
2345,TTEWSINGLES-----------R128000100----------,,"11-6,6-11,11-4,7-11,11-6,14-12,0-0"
2345,TTEMSINGLES-----------8FNL000700----------,,"11-8,6-11,11-8,7-11,11-9,5-11,11-7"
2345,TTEWSINGLES-----------8FNL000500----------,,"11-7,11-6,11-9,11-7,0-0,0-0,0-0"
2345,TTEMSINGLES-----------R32-000900----------,,"13-11,11-7,7-11,11-9,12-10,0-0,0-0"
2345,TTEWSINGLES-----------R128000200----------,,"12-10,6-11,3-11,11-7,11-9,11-9,0-0"
2345,TTEWSINGLES-----------R128001000----------,,"11-8,11-9,11-4,11-7,0-0,0-0,0-0"
2345,TTEMSINGLES-----------R64-000600----------,,"11-6,9-11,13-11,11-9,11-9,0-0,0-0"
2345,TTEWSINGLES-----------R64-001100----------,,"11-8,11-7,8-11,5-11,6-11,11-8,5-11"
2345,TTEMSINGLES-----------R128000500----------,,"11-8,8-11,8-11,7-11,13-11,6-11,0-0"
2345,TTEMSINGLES-----------R64-000500----------,,"11-7,11-5,11-6,11-5,0-0,0-0,0-0"
2345,TTEWSINGLES-----------R64-000100----------,,"9-11,12-14,7-11,11-7,9-11,0-0,0-0"
2345,TTEMSINGLES-----------QFNL000400----------,,"7-11,9-11,6-11,13-11,6-11,0-0,0-0"
2345,TTEMSINGLES-----------R32-000200----------,,"11-7,3-11,11-7,11-6,11-13,2-11,11-3"
2345,TTEWSINGLES-----------R32-001500----------,,"11-8,11-7,11-6,12-10,0-0,0-0,0-0"
2345,TTEWSINGLES-----------8FNL000700----------,,"11-13,7-11,9-11,11-8,8-11,0-0,0-0"
2345,TTEWSINGLES-----------R64-000200----------,,"7-11,9-11,14-12,12-10,11-6,3-11,11-8"
2345,TTEMSINGLES-----------R128001300----------,,"11-6,11-3,11-7,11-6,0-0,0-0,0-0"
2345,TTEWSINGLES-----------8FNL000600----------,,"1-11,12-10,3-11,3-11,4-11,0-0,0-0"
2345,TTEMSINGLES-----------8FNL000500----------,,"11-7,9-11,6-11,11-9,4-11,11-5,11-6"
2345,TTEWSINGLES-----------R64-000400----------,,"11-2,17-19,11-5,7-11,8-11,11-8,5-11"
2345,TTEWSINGLES-----------R32-000700----------,,"4-11,11-6,11-6,9-11,8-11,3-11,0-0"
2345,TTEWSINGLES-----------8FNL000400----------,,"9-11,9-11,9-11,11-8,11-6,8-11,0-0"
2345,TTEWSINGLES-----------R256000700----------,,"7-11,3-11,4-11,13-11,4-11,0-0,0-0"
2345,TTEWSINGLES-----------R32-000300----------,,"9-11,3-11,7-11,11-6,11-5,11-8,11-7"
2345,TTEWSINGLES-----------R256001600----------,,"11-8,8-11,6-11,5-11,10-12,0-0,0-0"
2345,TTEWSINGLES-----------R128000400----------,,"11-7,11-8,11-1,12-10,0-0,0-0,0-0"
2345,TTEMSINGLES-----------R32-001000----------,,"7-11,12-10,11-8,11-8,11-7,0-0,0-0"
2345,TTEWSINGLES-----------R128000600----------,,"11-7,11-6,12-10,11-9,0-0,0-0,0-0"
2345,TTEMSINGLES-----------8FNL000600----------,,"4-11,11-7,0-11,7-11,9-11,0-0,0-0"
2345,TTEMSINGLES-----------R64-001100----------,,"11-4,11-4,11-3,11-3,0-0,0-0,0-0"
2345,TTEMSINGLES-----------R128000100----------,,"11-5,11-6,11-3,13-11,0-0,0-0,0-0"
2345,TTEWSINGLES-----------R32-001000----------,,"7-11,6-11,11-4,8-11,2-11,0-0,0-0"
2345,TTEMSINGLES-----------R32-001400----------,,"11-9,5-11,2-11,2-11,8-11,0-0,0-0"
2345,TTEWSINGLES-----------R128000700----------,,"9-11,11-4,5-11,5-11,8-11,0-0,0-0"
2345,TTEMSINGLES-----------R128001600----------,,"11-7,11-9,11-6,11-5,0-0,0-0,0-0"
2345,TTEMSINGLES-----------R64-000200----------,,"11-7,11-9,11-8,6-11,12-10,0-0,0-0"
2345,TTEMSINGLES-----------R32-001100----------,,"11-6,11-8,11-3,12-10,0-0,0-0,0-0"
2345,TTEMSINGLES-----------R128001500----------,,"11-1,11-5,11-5,11-2,0-0,0-0,0-0"
2345,TTEMSINGLES-----------R32-001200----------,,"13-11,11-3,13-11,11-4,0-0,0-0,0-0"
2345,TTEMSINGLES-----------R32-000300----------,,"7-11,11-7,8-11,10-12,12-10,11-6,14-12"
2345,TTEWSINGLES-----------R32-000800----------,,"5-11,9-11,10-12,6-11,0-0,0-0,0-0"
2345,TTEMSINGLES-----------R32-001300----------,,"5-11,11-6,11-8,11-13,11-4,6-11,8-11"
2345,TTEMSINGLES-----------QFNL000100----------,,"12-10,11-9,11-6,11-5,0-0,0-0,0-0"
2345,TTEWSINGLES-----------R256000400----------,,"5-11,11-4,3-11,6-11,8-11,0-0,0-0"
2345,TTEWSINGLES-----------R128001400----------,,"7-11,11-5,4-11,10-12,2-11,0-0,0-0"
